No.,Question,Domain_최종,,,,
671,2013.02.15일 이전 계약은 저축성보험 비과세 적용 한도가 없지?,법 제도,,,,
672,2017년 4월 1일 이후계약은 비과세 유지기간 조건이 어떻게 돼?,법 제도,,,,
673,2017년 4월 1일 이후 일시납 저축성보험의 비과세 한도 얼마야?,법 제도,,,,
674,2003년 저축서보험은 비과세 요건이 어떻게 돼?,법 제도,,,,
675,2014년 월적립식저축성보험의 비과세 요건 알려줘,법 제도,,,,
676,바이탈리티 등급 종류를 알려줘,바이탈리티,,,,
677,플래티넘은 포인트가 얼마이상이어야 돼?,바이탈리티,,,,
678,바이탈리티1.1 가입은 AIA+에서 가능한가?,바이탈리티,,,,
679,바이탈리티 1.1 회비가 얼마야?,바이탈리티,,,,
680,바이탈리티 유료회비 납입방법은 직접납부도 되나요?,바이탈리티,,,,
681,바탈유료회비 납입자 범위는 어디까지야?,바이탈리티,,,,
682,바탈회비 미납되면 효력이상실되나?,바이탈리티,,,,
683,바이탈리티 유료멤버십은 가입하고 철회할 수 있나?,바이탈리티,,,,
684,통신채널 상품 중에서 어떤게 심사연동 되나요?,해피콜,,,,
685,통신채널 정기종신보험은 해피콜이 미완료되면 최종 어떻게 되나?,해피콜,,,,
686,해피콜 제외대상이 어떻게 돼?,해피콜,,,,
687,해피콜을 거부하는 경우 어떻게 처리하나요,해피콜,,,,
688,외국인 계약자에게 해피콜을 어떻게 하나요,해피콜,,,,
689,해피콜 고령자 조력제도란게 어떤거지?,해피콜,,,,
690,계약자가 청각장애인인 경우 해피콜 방법 알려줘,해피콜,,,,
691,해피콜 전화 시도는 몇 번하나요?,해피콜,,,,
692,GA채널 계약의 해피콜 전화 시도는 몇 번 하나요?,해피콜,,,,
693,성년후견이란,법 제도,,,,
694,한정후견이란,법 제도,,,,
695,특정후견이란,법 제도,,,,
696,임의후견이 뭐야,법 제도,,,,
697,성년후견인이 계약사항 문의하는 경우 확인할 서류는?,법 제도,,,,
698,한정후견에서 청구권자(피후견인이) 업무요청시 - 후견인의 동의 관련 서류는 녹취로 대체 가능한지요?,법 제도,,,,
699,후견인이 대리인에게 위임이 가능한가요,법 제도,,,,
700,성년후견인이 ‘대리인의 신용정보처리동의서’에  날짜를 기재하지 않은 경우 음성 녹취 보완이 가능한가요?,법 제도,,,,
701,연락처삭제시에도 본인인증을 해야하나요,채널 표기 코드,,,,
702,본인인이 당일 5회이상 실패한 경우 어떻게 되나요,채널 표기 코드,,,,
703,외국인의 경우 외국인등록증으로 인증할 수 있나요,채널 표기 코드,,,,
704,신분증인증 5회 오류로 잠겼는데 잠김해제 방법을 알려줘,채널 표기 코드,,,,
705,휴대폰인증 시 동의필수 스크립트 알려줘,채널 표기 코드,,,,
706,1개월이내 연락처변경 건 특별승인 방법 알려줘,채널 표기 코드,,,,
707,전산에 등록된 전화번호와 인입된 번호가 다른 경우 제지급처리 시 특별승인 필요한가?,채널 표기 코드,,,,
708,특별승인 신청방법 알려줘,채널 표기 코드,,,,
709,제지급 2천만원 초과건은 휴대폰인증 필수인가?,채널 표기 코드,,,,
710,MMS 팩스번호?,채널 표기 코드,,,,
711,관계확인서류 유효기간 알려줘,법 제도,,,,
712,민법상 미성년자 기준 ,법 제도,,,,
713,"해외에서 결혼해서 아직 국내 혼인신고가 안 된 경우, 해당 국가에서 발급받은 결혼증명서로 관계확인서류 인정이될까?",법 제도,,,,
714,법인계약 구비서류간소화 제외업무 종류 알려줘,법 제도,,,,
715,"법인계약 구비서류 간소화 대상 업무인 경우, 서류징구 기준 알려줘",법 제도,,,,
716,군인의 실명확인증표 종류가 뭐가 있나요,법 제도,,,,
717,재외동포나 재외국민 실명확인증표 종류는 뭐가 있나요,법 제도,,,,
718,태아도 상속순위가 있나?,법 제도,,,,
719,"피보험자가 미혼이고 부모 모두 사망, 조부모와 형제자매가 생존해 있다면 누가 상속 1순위인가?",법 제도,,,,
720,기혼이고 자녀가 없는 피보험자가 사망한 경우 법정상속인은 누구인가,법 제도,,,,
721,AML 목적이 무엇인가,법 제도,,,,
722,보험금청구도 AML 해당업무인가?,법 제도,,,,
723,법인 실제소유자 확인서류 종류가 뭐가 있지?,법 제도,,,,
724,학생증도 실명증표에 해당되나요,법 제도,,,,
725,블랙리스트 준법감시부 확인결과하는데 소요시간이얼마나 되나요,법 제도,,,,
726,고객이 사이버서비스에서 제지급 접수했을때도 3년 이내 거래실적있을경우 CDD징구 제외인가?,법 제도,,,,
727,EDD 대상 고객이 질문확인에 불만을 제기하면 뭐라고 해야돼?,법 제도,,,,
728,FATCA CSR는 무슨약자야?,법 제도,,,,
729,FATCA 는 뭘 확인하는 거야,법 제도,,,,
730,CSR는 뭘 확인하는 거야,법 제도,,,,
731,FATCA/CRS는 대표수익자에게만 적용하나요? 아니면 상속인도 포함인가요?,법 제도,,,,
732,FATCA/CRS는 사고보험금 급부와 지급금액 구분 없이 적용하나요?,법 제도,,,,
733,수익자 이외의 계좌로 지급하는 경우 예금주에게서 미국인 징후가 발견 된 경우 본인확인서 받나요?,법 제도,,,,
734,사망수익자가 법정상속인 경우 대표수익자와 계약자가 동일한 경우 CRS적용대상인가요?,법 제도,,,,
735,SSN이 뭔가요,법 제도,,,,
736,ITIN과 EIN이 뭔가요,법 제도,,,,
737,재외국민이 뭐지?,고객정보,,,,
738,재외동포가 뭐야?,고객정보,,,,
739,외국인 -> 외국인 명의정정 전화접수 시 필요한 서류가 뭐야,명의변경,,,,
740,외국인이 국내 국적취득해서 내국인로 명의정정 전화접수 시 필요한 서류가 뭐야,명의변경,,,,
1047,바이탈리티 1.1 서비스가 뭐야?,바이탈리티,,,,
1048,바이탈리티 유료서비스 가입조건이 뭐야?,바이탈리티,,,,
1049,바이탈리티 1.1 해지 후 재가입이 가능한가?,바이탈리티,,,,
1050,"바이탈리티 유료 회비납입이 자동이체 등록되어 있는데, 자동이체 해지 돼죠?",바이탈리티,,,,
