[ QA Check & Talk Point ],,,,,,
No.,목차,Check Point,,Talk (example),,,고객예상질문1,고객예상질문2,고객예상질문3
,,11. (해지방어 대상건) 담당자 연락드릴 수 있음 안내,,해지 신청하신 계약의 담당 모집인(설계사 or 청약상담사)에게도 내용이 전달될 수 있는 점 양해 부탁 드립니다.,,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,환급금 지급 시점과 공제 항목을 알려주세요.
,,통신채널,면대면채널,통신채널,면대면채널,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,환급금 지급 시점과 공제 항목을 알려주세요.
,,"12.지급계좌 예금주,은행명,계좌번호 확인","14-1. 송금계좌 확인 
(실효 계약 해지 시 송금계좌 아닌 계약자 계좌로도 가능)","해지 환급금 지급 받으실 계약자 분의 은행명과 계좌번호 
말씀 부탁 드리겠습니다
 ※ 계약자 외 계좌로 지급요청한 경우 관계확인서류 첨부
",지급 받으실 계좌와 은행을 말씀 부탁 드립니다 (송금정보로 확인할 것),,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,필요 서류 종류와 발급 기준을 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,,14-2. 변액계약의 경우 종가에 따라 지급금액 변동 가능 안내  ,,변액 상품은 종가에 따라 실제 지급 금액은 접수금액과 다를 수 있습니다.,,,,
,,"13. (6개월 이내 신규 계약 건이 있는 경우) 비교안내 진행
 - 1개월 이내 : ACOS 시스텝에서 팝업되는 비교안내장 모두 안내
 - 2~6개월 이내 : 팝업되는 내용 안내 ",,,,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,환급금 지급 시점과 공제 항목을 알려주세요.
,,14. 무/저해지 해지환급금 안내 ,,"OOO보험은 납입기간 중 해지환급금이 (없는/적은) (무/저)해지환급형 상품으로 현재 해지환급금은 ---,---원 입니다. 
참고 하시도록 향후 경과기간별 예상 해지환급금을 안내하여 드리면,  
[예시표 참고]
계약일로부터 00년 시점의 해지환급금은 0000원으로 환급율 % / 00년에는 해지환급금 0000원으로 환급율 % 
/ 00년에는 해지환급금 0000원으로 환급율 % 입니다. 
현재 기준(금리연동형상품: 현재 공시이율)으로 가정한 금액이기에 향후 변동 될 수 있습니다. ",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,15. 지급시간 안내,,해지 환급금 OO원은 OO시까지요청하신 계좌로 지급 될 예정입니다. ,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"15-1. 계좌 자동이체 청구 중인 경우 보험료 반환여부 안내
15-2. 카드 승인일에 해지 시 승인 취소 여부 안내",,"당일 자동이체 청구 중으로 잔고가 있을 경우 보험료 출금될 수 있으며, 출금 된 보험료는 평일기준 2~3일 이내 반환 됩니다. ",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,※ (카드 자동이체 건)카드 후불결제 안내 ,,전월(당월) 보험료는 이미 카드로 승인되어 다음달 카드사 결제내역에 포함될 수 있으니 참고 바랍니다,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
26,해지문의,1. 총 계약 건 수 안내 및 문의 계약 건 확인  ,,,,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,환급금 지급 시점과 공제 항목을 알려주세요.
,,2. 해지 방어 시도 시 해지 사유 문의 및 1차 반려 ,,"실례지만, 해지하시려는 사유가 어떻게 되십니까? / (사유에 맞는 해지방어)",,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,환급금 지급 시점과 공제 항목을 알려주세요.
,,"3. 계약일자 이후 해지 환급금 감소 안내
   (UL,PUL,VUL상품 / 일반상품 예납-선납 시 해당)
 ※해지환급금 안내시 
 - VUL상품 : 종가변동에 따라 금액 매일 변동 안내 필수
 - 그 외 상품 : 당일 기준 금액 or 이후 금액 변동 가능 안내 필수",,"(UL,PUL,VUL상품 기준) 계약일 이후 월대체가 이루어지므로 해지 환급금이 감소 될 수 있습니다
 ※해지환급금 안내시 
 - VUL상품 : 안내 해 드린 금액은 전일종가 이므로, 해지환급금 지급 시 종가에 따라 변동될 수 있습니다
 - 그 외 상품 : 당일 기준 해지환급금은 OO원 입니다. ",,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
27,해지취소,1. 총 계약 건 수 안내 및 문의 계약 건 확인  ,,,,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,환급금 지급 시점과 공제 항목을 알려주세요.
,,"2. 해지취소 가능여부 확인
※ 과거 해지 후 취소 요청 이력 여부 확인 
※ 1회 이상 해지 후 취소한 이력이 있는 경우, 해지 취소 불가 안내",,스크립트 참조,,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,환급금 지급 시점과 공제 항목을 알려주세요.
,,3. 추후 동일 계약 해지취소 불가 안내(해지 취소 가능 건),,,,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,환급금 지급 시점과 공제 항목을 알려주세요.
28,"재단출연
휴면보험금
",1. 총 계약 건 수 안내 및 해당 계약 건 확인,,"고객님의 OO보험 계약에서 xx년 xx월에 발생한 ---금(해지환급금,만기환급금) 이 지급되지 않아 휴면보험금으로 남아 있었는데요, 현재는 휴면기간이 오래되어 휴면예금관리재단으로 출연된 상태입니다.",,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"2. 본인인증( 휴대폰 or 신분증) 안내
※ 휴대폰 SMS 인증 시 본인인증 동의 필수",,"혹시 고객님 사용하시는 휴대폰이 본인 명의이세요? (yes)
금융사고 예방을 위해 고객님 명의의 휴대폰을 통한 본인 인증 후 업무처리 진행을 해드릴텐데요~
먼저, 휴대폰본인확인 서비스 이용과 관련하여 고객님의 정보를 수집.이용.취급위탁하고, 고유식별정보를 처리 하는 것에 동의 하십니까? (동의 필수)",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",변경 반영은 언제부터 확인할 수 있나요?
,,"3. 지급계좌 예금주, 은행명, 계좌번호 확인",,"지급 받으실 계좌는 고객님 본인 명의 계좌만 가능합니다. 받으실 은행명, 계좌번호 말씀 해주시겠습니까?",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,4. 지급 시간 안내,,"신청하신 휴면보험금 000,000원 신청 접수 되었습니다. 지급 시까지 평일 기준 1~2일 정도 소요 됩니다.",,,보험금 청구 접수는 어떻게 하면 되나요?,진단서 등 필요 서류 기준을 구체적으로 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
29,자동부활,1. 총 가입 건 수 안내 및 부활 계약건 확인 (자동부활 대상 여부 확인),,,,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,2. 실효상태 안내 (미납 월 및 실효일자 안내),," *****(보장사항) 보장 해드리는 OO계약이 OO월(최종납) 이후 보험료가 납입되지 않아, O월 1일자로 보장이 되지 않는 상태(효력상실)이네요~
하지만 다행히! 지금은 미납 보험료만 납입되면 복잡한 절차없이! 오늘부터 즉시 실효되기 전과 똑같이 보장을 받으실 수 있으세요. 
고객님 계좌나 카드(해당 상품만)로 지금 납입처리 해드릴까요? (가상계좌 가능)
*신용카드 결제 시 할부 납입도 가능 하세요~ (다만 할부이자는 고객 부담)",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,3. VDIP계약 부활시 바이탈리티 1.1 회원 가입 진행,,"바이탈리티 1.1회원 가입 진행도 함께 해드릴까요? (1.1회원 유지 시 주간 리워드, 등급리워드, 보험료 할인 혜택 등도 계속 받으실 수 있습니다)
 ▶YES인 경우: 피보험자와 1.1가입 진행 + ""회원 재가입 후 보험계약 부활을 취소하시는 경우에는 1.1회비는 반환되지 않고 익월 O일(회원가입해당일 전일)까지 바이탈리티 리워드 혜택을 받으시고 해지 되오니 참고 부탁 드립니다.""",,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,환급금 지급 시점과 공제 항목을 알려주세요.
,,※ [계약자 ≠ 수익자]건 수익자 연락처 확인 후 아웃바운드 진행 및 연락처 확인 거절 시 필수멘트 진행,,"보험금을 받는 수익자 000님께도 안내가 이루어져야 처리가 가능하기 때문에요, 000님께 연락 가능한 전화번호말씀 해주시겠어요? (이후 거절시 스크립트 참고하여 안내)",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,본인확인 방법과 필요한 정보를 알려주세요.,변경 반영은 언제부터 확인할 수 있나요?
,,"4. 부활 가능 금액 및 해당월 안내
4-1. 부활보험료 입금 방법 및 계속보험료 납입방법 안내
4-2. 계좌 즉시출금시 금결원 녹취 전송멘트 및 블랙리스트 검증",,"납입하실 금액은 당월분 보험료를 포함한 \000,000원 또는 전월분 보험료까지인 \000,000원을 납입하실 수 있습니다.  
(즉시납입 하는 경우) RTB 처리 기준에 따라 진행 후, 다음 안내
O월부터 보험료는 기존처럼 등록 된 OO은행에서 OO일에 자동이체로 납입 하시겠습니까? (or O월부터 보험료는 어떤 방법으로 납입 하시겠습니까?)
※ 전월보험료 까지만 납입하는 경우 ""미납 안내"" 필수 
※ 보장성보험 中 대출가능 계약에 한해서 APL 홍보 (추가 응대멘트 참고)",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,6. 부활 미처리 건 필수 안내,,"[실효월 포함 +4개월 까지 가능 건]
네~ 고객님, 당월 말일(휴일은 익영업일)까지 미납보험료 납입만으로 정상유지가 가능합니다. 
당월 말일(휴일은 익영업일)까지 미납된 보험료를 납입하지 않으실 경우, 보험의 실효가 확정되어 약정된 보험의 혜택을 받을 수 없게 됩니다. 
다만, 이 경우 실효된 0월 1일부터 3년 이내에는 일반부활 신청이 가능하며, 일반부활 시에는 부활보험료 및 연체이자 납입과 함께 청약서 작성 후 부활심사를 거쳐야 하고, 심사 결과((피험자의 건강상태 직업 등)에 따라 부활이 거절 될 수 있사오니 가급적 빠른 결정 하시어 연락 부탁 드립니다.
[안내일로부터 15일 이내 가능건]
(계약자=수익자) 저와 통화하신 날을 포함하여 15일이내 까지는 미납보험료 납입만으로 정상유지가 가능합니다. 
(계약자≠수익자) 고객님 또는 수익자께서 안내장을 수령하신 날을 포함해서(가장 늦게 수령한 날 기준)15일 이내 까지는 미납보험료 납입만으로 정상유지가 가능합니다.
안내일(or 해지안내장을 받아보신 날)로부터 15일(휴일포함)이내에 미납된 보험료를 납입하지 않으실 경우, 
말씀드린 15일의 다음 날 보험의 실효가 확정되어 약정된 보험의 혜택을 받을 수 없게 됩니다. 
다만, 이 경우 실효된 0월 1일부터 3년 이내에는 일반부활 신청이 가능하며, 일반부활 시에는 부활보험료 및 연체이자 납입과 함께 청약서 작성 후 부활심사를 거쳐야 하고, 심사 결과((피험자의 건강상태 직업 등)에 따라 부활이 거절 될 수 있사오니 가급적 빠른 결정 하시어 연락 부탁 드립니다.",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,접수 후 수령 방식은 어떻게 선택할 수 있나요?,적용 시점과 청구 일정은 어떻게 되나요?
30,일반부활,1. 총 가입 건 수 안내 및 부활 계약건 확인,,,,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,2. 부활가능기간 안내 ,,"고객님의 OO 계약은 O월1일자로 실효가 되었기 때문에 3년 이내인 O월O일까지 부활 접수가 가능합니다.
※ 2014.12.31일 이전 실효 건 부활가능기간: 실효일 기준 2년 이내
   2015.1.1일 이후 실효 건 부활가능기간: 실효일 기준 3년 이내",,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,통신채널,면대면채널,통신채널,면대면채널,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,3. 부활절차 안내,"3. 부활 절차 문의 시 안내 
- 계,피 상이건/미성년 계약 주의(청약서 작성, 연체이자, 심사 후 부활 여부 결정-거절 가능 안내)
3-1. 부활 신청 방법 안내","부활을 위한 전화 통화 녹취를 하신 후 부활보험료를 납부 해주시면 부활 심사를 거쳐서 부활 여부가 결정됩니다.
※ (책임 개시일 적용 특약 있을 시) 일반 부활의 경우 책임 개시일 적용됨 안내","일반 부활 신청서를 작성 하시고 부활보험료를 가상계좌로 입금하시면, 부활 심사를 거쳐 부활 여부가 결정됩니다. 
(계,피 상이건/미성년 계약 주의하여 상황에 맞춰 안내)
고객님의 담당 설계사(마스터 플래너)를 통해 또는 직접 지점을 방문 하시면 신청이 가능합니다.",,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,,,,,,,,
,,4. 부활보험료 안내 시 연체이자 포함되어 매일 금액 변동 됨 안내,,"오늘 기준 부활 보험료는 연체이자 포함하여 총 OOO, OOO원 이고요, 0월 보험료까지 계산되었습니다. 이 금액은 매일 변동 되기 때문에 실제로 부활 처리 하실 때 다시 한번 확인 부탁 드립니다.
(계약일 이전 : 전월 보험료까지 / 계약일 이후 : 당월 보험료까지 계산 됨)",,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
31,보험금청구,"1. 인입 고객 파악 및 해당 계약 건 확인 
 (계약 관련자 및 계약자와의 관계/""계,피,납,수"" 의 경우 정보확인 필수)
1-1. 제3자 인입 시 ""계약자/피보험자/해당 수익자 본인이 직접 확인"" 필수 안내",,"(제3자 인입 시)지금 안내 해드릴 수 있는 사항은 보험금 청구에 관한 기본적인 서류로 실제 계약 건에 따라 구비서류가 일부 다를 수 있습니다. 괜찮으십니까? 
번거로우시더라도 청구 접수 하시기 전에 반드시 계약자님(or 피보험자 or 수익자)께서 직접 전화 주시어 계약 사항 및 보장 여부에 관해 정확히 확인 해주시기 바랍니다.",,,보험금 청구 접수는 어떻게 하면 되나요?,필요 서류 종류와 발급 기준을 알려주세요.,심사와 지급까지 예상 기간은 어떻게 되나요?
,,"2. 보험금 청구사유 확인(부담보/질병-재해/입원-수술 확인)
2-1. 실손 - 질병-재해/입원-통원 확인 (통원의 경우 금액과 처방조제 탐색)
            -  실손 보험금 청구서류 접수 대행 서비스 안내
            - 기본공제금액 및 보장한도 안내
 *재해로 인한 경우 사고 원인 확인",,"실례지만 어떤 수술을 하셨는지 진단명과 수술명, 수술일자(사고일자) 확인 가능하십니까?
  -> 어떤 사고였습니까?",,,보험금 청구 접수는 어떻게 하면 되나요?,진단서 등 필요 서류 기준을 구체적으로 알려주세요.,심사와 지급까지 예상 기간은 어떻게 되나요?
,,3. 보험사고일 및 보험사고 대상자 확인 ,,보험대상자 OOO님께서 언제 수술을 받으셨나요?,,,보험금 청구 접수는 어떻게 하면 되나요?,진단서 등 필요 서류 기준을 구체적으로 알려주세요.,심사와 지급까지 예상 기간은 어떻게 되나요?
,,4. 청구내용 외 입원/수술/골절/진단 여부 확인,,혹시 입원도 하셨습니까?,,,보험금 청구 접수는 어떻게 하면 되나요?,진단서 등 필요 서류 기준을 구체적으로 알려주세요.,심사와 지급까지 예상 기간은 어떻게 되나요?
,,"5. 수익자 FATCA/CRS 확인 & 실소유자 확인(사망보험금 청구건만 해당)
※ 외국인/타국납세의무자의 경우 추가 서류 안내",,"실례지만, 보험금을 받는 분(모든 수익자)의 국적이 어떻게 되십니까? 
[저축성 보험의 사망수익자가] 혹시 다른 나라에 세금을 납부하는 것이 있으십니까? 
[사망보험금 청구건만 해당] 청구하실 보험의 계약자가 해당 계약의 실소유자가 맞으신가요? (네)",,,보험금 청구 접수는 어떻게 하면 되나요?,진단서 등 필요 서류 기준을 구체적으로 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,6. 청구방법 및 보험금 청구서 수령 방법 안내,,,,,보험금 청구 접수는 어떻게 하면 되나요?,진단서 등 필요 서류 기준을 구체적으로 알려주세요.,심사와 지급까지 예상 기간은 어떻게 되나요?
,,"7. 구비서류 안내 (서류 원본 발송 안내)
  *진단서 : 진단명, 코드번호, 수술일자, 수술명, 입퇴원기간 기재 필수 
  *재해일 경우 사고사실확인서 or 보험금청구서에 6하원칙에 의거하여 기재 필수
",,스크립트 참조,,,보험금 청구 접수는 어떻게 하면 되나요?,진단서 등 필요 서류 기준을 구체적으로 알려주세요.,심사와 지급까지 예상 기간은 어떻게 되나요?
,,8. 보험금청구 서류 접수 방법 안내,,"보험금신청은 휴대폰으로 병원서류만 사진 찍어서 올리면 간단하게 신청이 가능한데요. 
고객님 휴대폰에서 바로 신청 하실 수 있고, 또는 전화상으로 대신 접수도 가능합니다. 어떤 방법이 좋으세요? 
1) [AIA+ 접수 안내] 피보험자, 수익자 동일/상이여부 무관하게 청구가능
2) [ACOS 유선접수 안내] 피보험자, 수익자 동일한 경우 가능",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,필요 서류 종류와 발급 기준을 알려주세요.,변경 반영은 언제부터 확인할 수 있나요?
,,"9. 필수안내(신청서 작성 및 청구단계 관련 안내)
  *개인신용정보제공 및 조회동의서 작성 
  *보험금 청구 단계/ 심사 후 지급여부 결정/ 추가서류 발생 가능/ 수익자연락처 기재 안내",,"<우편 안내 건 필수안내>
보험금청구서와 개인정보처리동의서 작성 하실 때, ""필수 기재"" 항목 작성이 누락될 경우 접수가 가능하지 않기 때문에 꼼꼼한 기재 부탁 드리고요. 특히, 개인정보처리동의서에 피보험자와 수익자 두 분의 서명이 없을 경우 보험금 청구 접수가 불가 하오니 모든 항목에 반드시 동의 체크하신 후 두 분 모두 서명 해주시길 부탁 드립니다.",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"※ 팩스 접수 시 필수 안내사항 
  *심사 후 보장금액이 500만원 초과될 경우 진단서류 원본 보완 요청 및 해당 병원으로
    청구서류의 기재내용 유선 확인 가능 
  *위/변조 사실이 있을 경우 청구권이 소멸되거나 보험계약이 해지될 수 있음 
  *보험금청구서 상 SMS 수신 동의 체크
",,스크립트 참조,,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,환급금 지급 시점과 공제 항목을 알려주세요.
,," ※ 가입 상품의 종류, 부담보 여부, 특약, 계약일, 피보험자 성별에 따라 보장여부 달라질 수 있으니 정확한 확인 필수",,,,,보험금 청구 접수는 어떻게 하면 되나요?,진단서 등 필요 서류 기준을 구체적으로 알려주세요.,심사와 지급까지 예상 기간은 어떻게 되나요?
32,소득공제 납입 증명서 발급,1. 총 가입 건 수 안내 및 발행 요청 계약건 확인,,,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,수령 가능한 방식(문자/이메일/우편 등)을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
,,2. 발행 기준연도 확인 ,,올해 기준으로 발급 해 드리면 될까요?,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,필요 서류 종류와 발급 기준을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
,,3. 수령 방법 확인,,우편이나 FAX로 수령 또는 공인인증서가 있으시면 인터넷을 통해 바로 출력도 가능합니다. 어떤 방법으로 수령 하시겠습니까?     ,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
,,4. 소요기간 안내,,,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,수령 가능한 방식(문자/이메일/우편 등)을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
33,해지영수증 발급,1. 총 계약 건 수 안내 및 발행 요청 계약건 확인,,,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,수령 가능한 방식(문자/이메일/우편 등)을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
,,2. 수령 가능 방법 확인 ,,증명서는 우편과 팩스 발송 가능합니다. 어떤 방법으로 수령 하시겠습니까?,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,필요 서류 종류와 발급 기준을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
,,3. 소요기간 안내,,,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,수령 가능한 방식(문자/이메일/우편 등)을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
34,잔액증명서 발급,1. 총 계약 건 수 안내 및 발행 요청 계약건 확인,,,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,수령 가능한 방식(문자/이메일/우편 등)을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
,,"2. 기준일자, 발행용도, 해지환급금 표시여부 확인 
 ※ 영문 신청 시 영문 이름(여권상 기재 된 이름) 철자 확인 ",,발행용도와 기준일자를 말씀 해 주시겠습니까? 해지환급금도 함께 표기하여 드릴까요?,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,수령 가능한 방식(문자/이메일/우편 등)을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
,,3. 수령 가능 방법 확인 ,,증명서는 우편과 팩스 발송 가능합니다. 어떤 방법으로 수령 하시겠습니까?,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,필요 서류 종류와 발급 기준을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
,,4. 소요기간 안내,,,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,수령 가능한 방식(문자/이메일/우편 등)을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
35,보험계약대출 영수증 발급,1. 총 계약 건 수 안내 및 발행 요청 계약건 확인,,,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,수령 가능한 방식(문자/이메일/우편 등)을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
,,2. 영수증 상 기재 내용 탐색 (대출 전액 표기/ 대출 상환 영수증/ 대출 잔액 영수증),,,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,수령 가능한 방식(문자/이메일/우편 등)을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
,,3. 대출 잔액 증명서 요청 시 기준일자 및 사용 용도 탐색 ,,증명서의 사용 용도와 발급 기준일자가 어떻게 되십니까?,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,필요 서류 종류와 발급 기준을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
,,4. 소요기간 안내,,,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,수령 가능한 방식(문자/이메일/우편 등)을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
36,명의정정,1. 총 가입 건 수 안내 및 해당 계약건 확인,,,,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,2. FATCA/CRS & Black List 확인,,"(내국인의 경우) 실례지만 고객님 국적과 실제 거주하시는 곳은 동일하게 한국이시지요?
(외국인의 경우) 실례지만 고객님의 국적이 어떻게 되십니까? / 실제 거주하는곳도 동일하십니까?
혹시, 다른 나라에 세금을 납부하는 것이 있으십니까?",,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,3. 명의 정정 신청 방법 안내 (정정 사유에 따라 정확한 서류 안내),,"성명정정 : 주민등록증의 발급일자를 말씀해 주시겠습니까? 
[주민등록증 확인 불가 시] 다른 신분증(운전면허증/여권/외국인등록증/국내거소신고증 등)의 사본을 보내주시면 (휴대폰 사진으로 전송 또는 팩스)을 접수가 가능 합니다. 
주민번호 정정 :
(단순정정) 주민번호 정정을 위해서는 정정 할 분의 신분증 앞면 복사본(호적정정 인 경우 : 주민등록 초본 OR 기본증명서)이 필요 합니다. 번거로우시겠지만 먼저 고객님의 신분증 앞면 복사본을 저희 고객센터 FAX로 먼저 보내주신 후 연락 주시면 접수가 가능합니다. (팩스 대신 휴대폰사진으로 전송도 가능)
(행정상 정정)주민번호 정정을 위해서는 정정 할 분의 변경 전, 후의 주민번호가 확인되는 기본증명서(또는 주민등록초본) 1부를 팩스 또는 우편으로 발송 부탁 드립니다. 
(팩스 대신 휴대폰사진으로 전송도 가능)
",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,필요 서류 종류와 발급 기준을 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,4. (전화 접수 시) CDD 확인 & 신분증 검증,,"고객님, 자금세탁방지제도로 인해 몇 가지만 더 여쭙겠습니다.
  - (피보험자 주민번호 정정 시에만) 이 계약의 실제 소유자가 계약자 OOO님 맞으시죠? 
  - 소지하고 계신 주민등록증(운전면허증, 재외국민주민등록증, 외국인등록증)의 발급일자를 말씀 해 주시겠어요? 
  - 실례지만, 하시는 일이 어떻게 되시는지요? (+직장명이 어떻게 되십니까?)",,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,필요 서류 종류와 발급 기준을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
,,"5. 추징, 반제금 발생시 입금 방법 안내 or 지급 방법 확인(예금주/은행명/계좌번호 확인) 
5-1. 계좌 즉시출금 시 금결원 녹취 전송멘트",,"5. 주민등록번호 변경으로 가입 시 연령이 높아져 고객님께서 더 납부할 금액(추징금) 000원이 발생되었습니다. 즉시출금이나 입금전용계좌(가상계좌)로 입금 가능하신데요 어떤 방법으로 납입 하시겠습니까?  
5-1. [계좌 RTB건_ 금융결재원 녹취 전송]
즉시출금 확인을 위한 ARS를 연결 해드리겠습니다. 요청하신 정보가 맞으면 1번 동의를 누르신 후 잠시 기다려 주시기 바랍니다. -> ARS연결
※ ARS사용 불가 시 녹취로 대체
   AIA생명에서 출금하는 계좌를 예금주 000님의 00은행, --------번 계좌로 요청하셨습니다. 맞으십니까? (YES 답변 필수)",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
