No.,Question,Domain_최종,목차,매핑상태
495,"보험료 자동이체일이 25일인데 주식형 100%에서 채권형 100%로 5/15일에 펀드 투입비율변경할 경우, 어떻게 적용되는지?",변액 펀드,(면대면채널)펀드변경,MATCHED
496,감액완납이 무엇인가요?,계약정보,(면대면채널)감액 완납,MATCHED
497,납입면제 중인 계약도 감액완납이 가능한가요?,계약정보,(면대면채널)감액 완납,MATCHED
498,감액완납이 불가능한 경우가 또 어떤 것들이 있어?,계약정보,(면대면채널)감액 완납,MATCHED
499,감액완납 전화접수 시 필요한 서류는?,계약정보,(면대면채널)감액 완납,MATCHED
500,감액완납 후 취소되나요?,계약정보,(면대면채널)감액 완납,MATCHED
501,감액완납 시 특약은 보장 받을 수 없나요?,계약정보,(면대면채널)감액 완납,MATCHED
502,감액완납 가능 조건은?,계약정보,(면대면채널)감액 완납,MATCHED
503,법인 계약 감액완납 직원도 신청 가능한가요?,계약정보,(면대면채널)감액 완납,MATCHED
504,법인 계약 감액완납 신청방법은?,계약정보,(면대면채널)감액 완납,MATCHED
505,연장정기가 무엇인가요?,계약정보,(면대면채널)연장 정기,MATCHED
506,연장정기 가능한 조건은?,계약정보,(면대면채널)연장 정기,MATCHED
507,연장정기 전화접수 시 필요한 서류는?,계약정보,(면대면채널)연장 정기,MATCHED
508,법인계약 연장정기 직원 대리 신청 가능한가요?,계약정보,(면대면채널)연장 정기,MATCHED
509,연장정기 후 취소되는지?,계약정보,(면대면채널)연장 정기,MATCHED
510,연장정기 후 해지 되는지?,계약정보,(면대면채널)연장 정기,MATCHED
511,연장정기 시 보험기간 계산 될 때 연령의 기준 문의 시?,계약정보,(면대면채널)연장 정기,MATCHED
512,연장정기 후에도 보험계약대출 가능한지 문의 시,계약정보,(면대면채널)연장 정기,MATCHED
513,연장정기 후에 연금전환 가능 문의 시?,계약정보,(면대면채널)연장 정기,MATCHED
514,계약자 아닌 제3자가 민원접수 요청하면 어떻게 해?,민원,민원,MATCHED
515,계약자가 당사 활동 모집인인 경우에 민원접수 가능한지?,민원,민원,MATCHED
516,"자동부활 가능 기한 경과 건 일반부활 안내 하였으나, 거부하고 자동부활 요구하는 경우에는?",민원,품질보증해지,MATCHED
517,고객의 개인정보 유출과 관련 확인 요청 및 사고 대응 등을 위해 문의 시에는?,민원,품질보증해지,MATCHED
518,소멸계약 증권 재발행 요청 시 대응법은?,민원,품질보증해지,MATCHED
519,위법계약 해지가 뭐지?,민원,품질보증해지,MATCHED
520,위법계약해지 요구는 언제까지 가능한가요?,민원,품질보증해지,MATCHED
521,위법계약해지신청방법은? 전화로 가능한가?,민원,품질보증해지,MATCHED
522,위법계약해지 신청할때 필요한 서류가 뭐야?,민원,품질보증해지,MATCHED
523,품질가능해지 가능 기간은?,민원,품질보증해지,MATCHED
524,품질가능해지 가능 조건은?,민원,품질보증해지,MATCHED
525,품질 보증해지 접수 시 결과 및 소요 시간은?,민원,품질보증해지,MATCHED
526,품질 보증해지 접수 제한 사항은?,민원,품질보증해지,MATCHED
527,보험금 지급 된 계약도 품질보증해지 가능한가요?,민원,품질보증해지,MATCHED
528,담당 MP가 없는데 반드시 지정하지않아도 되는 것인지?,설계사,(면대면채널) MP이관,MATCHED
529,실효상태에서 MP지정 문의 시?,설계사,(면대면채널) MP이관,MATCHED
530,MP가 본인 계약 건 본인으로 이관 요청시?,설계사,(면대면채널) MP이관,MATCHED
531,미성년자계약 이관동의서 외에 추가 제출 서류 및 작성방법은?,설계사,(면대면채널) MP이관,MATCHED
532,타 채널의 계약 건을 단체영업 소속의 MP로 이관 가능 한지?,설계사,(면대면채널) MP이관,MATCHED
533,활동MP 건을 다른 MP로 변경할 수 있는 조건은?,설계사,(면대면채널) MP이관,MATCHED
534,계약상태 10이 어떤 상태?,신계약 미결,재고지 접수/ 보완,MATCHED
535,보험 계약 반송 안내문을 받았는데 무엇인지 문의한 경우?,신계약 미결,재고지 접수/ 보완,MATCHED
536,부담보가 무엇인가요?,보험금 보장,보험금청구,MATCHED
537,"통신채널 청약 당시 부담보 설정 된 부위 완치 후 부담보 해제 가능하다고 안내 받았다고 하는 경우, 접수 및 검토 가능 조건은?",신계약 미결,재고지 접수/ 보완,MATCHED
538,건강 재고지 접수 가능기간은? 통신채널 건이야,신계약 미결,재고지 접수/ 보완,MATCHED
539,대면채널 계약 우편으로 자필서명재고지 하는 방법은?,신계약 미결,재고지 접수/ 보완,MATCHED
540,실효상태에서 재고지 가능한가요?,신계약 미결,재고지 접수/ 보완,MATCHED
541,재고지 결과 M2 보완 나온 경우 어떻게되는건지요?,신계약 미결,재고지 접수/ 보완,MATCHED
542,동일한 증권번호에 대해 재고지 여러 번 가능한가요?,신계약 미결,재고지 접수/ 보완,MATCHED
543,8채널 계약도 재고지 가능한가?,신계약 미결,재고지 접수/ 보완,MATCHED
544,재고지했는데 미결로 부담보 설정이 되었을 경우 어떻게 해야 돼?,신계약 미결,재고지 접수/ 보완,MATCHED
559,"종피보험자 주민번호 정정할때도, 보험료 변동이 발생하나요?",명의변경,명의정정,MATCHED
560,주민번호정정 전화접수 할때 필요한 서류가 있나요?,명의변경,명의정정,MATCHED
561,"이름 단순정정을 우편으로 신청 시, 필요 서류는?",명의변경,명의정정,MATCHED
562,"명의정정 시, AML 대상은?",명의변경,명의정정,MATCHED
563,"이름 단순정정 전화 접수 시, 필요한 서류는?",명의변경,명의정정,MATCHED
564,등본과 신분증상 성명이 두음법칙으로 인해 상이한 경우 정정되어야 하는기준은?,명의변경,명의정정,MATCHED
565,추징금이 무엇인가요?,명의변경,명의정정,MATCHED
566,명의정정 증비서류 사본 가능한가요?,명의변경,명의정정,MATCHED
567,내국인 호적정정으로 명의정정 시 필요한 서류는?,명의변경,명의정정,MATCHED
568,법인 계약 사업자등록번호 변경 시 구비서류는? 대표자가 신청할 때로 알려줘,명의변경,명의변경(계약자/수익자 변경),MATCHED
589,아직 상환이 덜 된 계약대출금이 있어도 연금전환이 가능한가?,연금,연금전환 서비스,MATCHED
590,연금전환 가능한 조건 알려줘,연금,연금전환 서비스,MATCHED
591,연금전환 신청을 전화접수 할 수 있나?,연금,연금전환 서비스,MATCHED
592,연금전환 시 특약보장은 어떻게 되나?,연금,연금전환 서비스,MATCHED
593,연금전환 후 취소도 가능한가?,연금,연금전환 서비스,MATCHED
594,연금신청권자는 누구인가,연금,(면대면채널)연금신청,MATCHED
595,연금으로 전환 후 연금의 일시금 수령은 가능한가요?,연금,연금전환 서비스,MATCHED
596,지급중지(채권압류) 계약은 연금전환이 가능한가요?,연금,연금전환 서비스,MATCHED
597,사망수익자가 은행으로 지정된 계약은 연금전환이 가능한가요?,연금,연금전환 서비스,MATCHED
598,"보장유지특약 중 갱신특약이 존재하는 경우, 갱신 가능한가요?",연금,연금전환 서비스,MATCHED
599,연금전환 접수 중 [재해입원특약은 의료비특약과 전환여부가 동일해야 한다]는 안내문구가 뜹니다. 어떤 의미인가요?,연금,연금전환 서비스,MATCHED
600,연금전환 신청 후 언제부터 연금수령이 가능하나요?,연금,연금전환 서비스,MATCHED
601,연금전환 시점이 비과세 기간을 경과 하지 않았을 경우에는 과세 되나요?,연금,연금전환 서비스,MATCHED
602,연금전환 시에는 가입 당시의 경험생명표를 적용하나요?,연금,연금전환 서비스,MATCHED
603,연금개시 안내문은 언제 발송 되나요?,연금,연금전환 서비스,MATCHED
604,연금개시시점에 약관대출금 존재 시에는 연금개시금액은 어떻게 되나요?,연금,연금전환 서비스,MATCHED
605,연금 개시 후 피보험자 사망 시 수익자는 누구인가요?,연금,연금전환 서비스,MATCHED
606,연금 개시 후 피보험자 사망 청구 건의 일시금 요청 시 구비 서류는 어떻게 되나요?,연금,연금전환 서비스,MATCHED
607,연금 지급 일자에 미 지급 되었을 경우 공시이율로 적용 되나요?,연금,연금전환 서비스,MATCHED
608,"비과세 기간을 채우지 못하고, 연금 개시 될 경우 과세는 언제 하나요?",연금,연금전환 서비스,MATCHED
609,"당사의 연금보험은 비과세연금보험(비적격), 소득공제 연금보험(적격) 중 어디에 해당 되나요?",연금,연금전환 서비스,MATCHED
610,세계비적격/적격 차이는?,연금,연금전환 서비스,MATCHED
611,연금 계약변경 가능 조건은?,연금,연금전환 서비스,MATCHED
612,연금개시연령을 바꾸고 싶은데 가능 조건이 있어?,연금,연금전환 서비스,MATCHED
613,연금개시가 되었는데 연금을 실제 받기 전에 연금지급받은 주리를 변경하고 싶다면 가능할까?,연금,연금전환 서비스,MATCHED
619,통신채널 2025년 3월에 가입한 백세시대꼭하나건강보험갱신형의 AIA 헬스케어 서비스 가입 조건은?,헬스케어서비스,헬스케어 서비스,MATCHED
620,전문의료진 실시간 건강상담 내용이 뭐더라?,헬스케어서비스,헬스케어 서비스,MATCHED
621,차량에스코트 서비스 내용 좀 알려줘,헬스케어서비스,헬스케어 서비스,MATCHED
622,시니어일반헬스케어에서 차량에스코트서비스는 년간 몇 회 지원돼?,헬스케어서비스,헬스케어 서비스,MATCHED
623,간호사 병원 방문동행 내용과 연간 지원횟수 알려줘,헬스케어서비스,헬스케어 서비스,MATCHED
624,암특화헬스케어서비스 중에 암건강정보안내는 어떻게 받아보는 거야?,헬스케어서비스,헬스케어 서비스,MATCHED
625,전화심리상담은 가족도 받을수 있나요?,헬스케어서비스,헬스케어 서비스,MATCHED
626,헬스케어 기본서비스에서 케어스테이 서비스 가능해?,헬스케어서비스,헬스케어 서비스,MATCHED
627,2025년 1월에 가입한 AIA Vitality 평생안심+유니버셜종신보험 헬스케어 서비스 가입 조건은?,헬스케어서비스,헬스케어 서비스,MATCHED
628,해외 의료지원서비스는 헤택내용이 뭐가 있어?,헬스케어서비스,헬스케어 서비스,MATCHED
629,헬스케어로 상조서비스는 다른 상조회사와 연계되어서 제공하는 건가요?,헬스케어서비스,헬스케어 서비스,MATCHED
630,헬스케어 서비스에서 말하는 큰병 의 정의는?,헬스케어서비스,헬스케어 서비스,MATCHED
697,재외국민이 뭐지?,고객정보,주소/연락처 변경,MATCHED
698,재외동포가 뭐야?,고객정보,주소/연락처 변경,MATCHED
699,외국인 -> 외국인 명의정정 전화접수 시 필요한 서류가 뭐야,명의변경,명의정정,MATCHED
700,외국인이 국내 국적취득해서 내국인로 명의정정 전화접수 시 필요한 서류가 뭐야,명의변경,명의정정,MATCHED
